Legal Name,Borough,Permit Expiration,Status,Age Range,Maximum Capacity,Child Care Type,Date Permitted,Current Date,Years in operations,Violation Rate Percent,Total Educational Workers,Public Health Hazard Violation Rate,Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Violation Status,Inspection Summary Result
"TUTOR TIME LEARNING CENTERS, LLC.",BROOKLYN,8/10/23,Permitted,2 YEARS - 5 YEARS,59,Child Care - Pre School,6/20/03,4/17/22,18,20,25,20,20,2/25/22,Milk observed stored at a temperature above 41 deg. F at time of inspection. Milk observed stored in child care service beyond the expiration date.,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"THE MURRAY HILL WEE ONES CLUB, LLC",MANHATTAN,2/8/22,Expired-In Renewal,2 YEARS - 5 YEARS,30,Child Care - Pre School,2/7/14,4/17/22,8,0,7,0,0,1/26/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Nirlyn  King,STATEN ISLAND,10/25/23,Permitted,2 YEARS - 5 YEARS,99,Child Care - Pre School,10/25/19,4/17/22,2,0,16,0,0,2/1/22,Sufficient trained staff Not provided; staff Not on site; training  unsatisfactory.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"EDEN II SCHOOL FOR AUTISTIC CHILDREN, INC.",STATEN ISLAND,4/12/23,Permitted,2 YEARS - 5 YEARS,60,Child Care - Pre School,4/12/19,4/17/22,3,0,52,0,0,2/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"BIG BIRDS PLAYHOUSE, CORP",STATEN ISLAND,3/1/24,Permitted,2 YEARS - 5 YEARS,27,Child Care - Pre School,3/1/04,4/17/22,18,0,3,0,0,2/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
EVBO INC.,QUEENS,5/13/23,Permitted,2 YEARS - 5 YEARS,132,Child Care - Pre School,3/3/77,4/17/22,45,0,16,0,0,1/14/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE CORNER SCHOOL,QUEENS,5/3/22,Permitted,2 YEARS - 5 YEARS,35,Child Care - Pre School,5/3/04,4/17/22,17,28.5714,5,0,28.5714,3/16/22,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"NORTHSIDE CENTER FOR CHILD DEVELOPMENT,INC.",MANHATTAN,4/4/23,Permitted,0 YEARS - 2 YEARS,16,Child Care - Infants/Toddlers,4/4/06,4/17/22,16,0,11,0,0,3/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ZZSI CORP.,STATEN ISLAND,12/17/23,Permitted,2 YEARS - 5 YEARS,70,Child Care - Pre School,12/17/03,4/17/22,18,40,9,0,40,2/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,BROOKLYN,11/21/23,Permitted,2 YEARS - 5 YEARS,105,Child Care - Pre School,11/21/05,4/17/22,16,50,12,16.6667,50,2/2/22,Exits and other egress Not provided with required signage at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
SAAG ASTORIA INC.,QUEENS,5/9/23,Permitted,2 YEARS - 5 YEARS,71,Child Care - Pre School,5/9/19,4/17/22,2,0,10,0,0,3/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CITIZEN'S CARE DAY CARE CENTER, INC.",MANHATTAN,9/17/23,Permitted,2 YEARS - 5 YEARS,119,Child Care - Pre School,4/3/02,4/17/22,20,0,10,0,0,1/19/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"IMAGINE EARLY LEARNING CENTERS, LLC",MANHATTAN,8/10/23,Permitted,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,7/20/05,4/17/22,16,20,7,0,20,1/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Mergen Inc.,MANHATTAN,7/2/23,Permitted,0 YEARS - 2 YEARS,70,Child Care - Infants/Toddlers,7/2/21,4/17/22,0,0,4,0,0,2/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"APPLETREE DAY CARE CENTER, INC.",QUEENS,2/8/23,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,2/8/11,4/17/22,11,0,3,0,0,1/21/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"NYC EARLY LEARNING COMPANY, INC.",BRONX,8/21/22,Permitted,2 YEARS - 5 YEARS,103,Child Care - Pre School,8/21/18,4/17/22,3,66.6667,4,33.3333,50,3/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
WEEKS EDUCATIONAL AND SOCIAL ADVOCACY PROJECT INC.,BROOKLYN,6/25/23,Permitted,2 YEARS - 5 YEARS,120,Child Care - Pre School,6/25/21,4/17/22,0,100,6,100,0,3/4/22,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"INSPIRE KIDS EARLY LEARNING CENTER, LLC",BROOKLYN,8/23/23,Permitted,2 YEARS - 5 YEARS,30,Child Care - Pre School,8/23/19,4/17/22,2,20,9,0,20,1/26/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"SHOREFRONT YM-YWHA OF BRIGHTON-MANHATTAN BEACH,INC.",BROOKLYN,8/30/23,Permitted,2 YEARS - 5 YEARS,93,Child Care - Pre School,8/18/05,4/17/22,16,0,9,0,0,3/30/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER, INC.",BROOKLYN,5/25/22,Permitted,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,5/25/08,4/17/22,13,14.2857,1,0,14.2857,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"A TO Z DAY CARE CENTER AND AFTER SCHOOL PROGRAM, INC.",BROOKLYN,12/5/22,Permitted,2 YEARS - 5 YEARS,54,Child Care - Pre School,12/5/08,4/17/22,13,0,9,0,0,3/29/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ROMAN CATHOLIC CHURCH OF ST. IGNATIUS LOYOLA,MANHATTAN,1/13/21,Expired-In Renewal,2 YEARS - 5 YEARS,110,Child Care - Pre School,10/8/43,4/17/22,78,25,20,25,25,3/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"LABOR AND INDUSTRY FOR EDUCATION, INC.",BROOKLYN,10/9/22,Permitted,2 YEARS - 5 YEARS,100,Child Care - Pre School,10/9/12,4/17/22,9,40,12,0,40,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"HAMILTON MADISON HOUSE, INC.",MANHATTAN,4/4/23,Permitted,2 YEARS - 5 YEARS,60,Child Care - Pre School,12/23/02,4/17/22,19,0,8,0,0,1/27/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
"SHIELD OF DAVID, INC.",QUEENS,2/8/24,Permitted,2 YEARS - 5 YEARS,162,Child Care - Pre School,4/8/85,4/17/22,37,66.6667,35,50,50,4/1/22,Adequate space/arrangement to provide separate storage areas for children's outer garments Not provided or maintained at time of inspection.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
SCAN-HARBOR INC.,MANHATTAN,9/6/22,Permitted,2 YEARS - 5 YEARS,60,Child Care - Pre School,9/5/08,4/17/22,13,66.6667,8,50,50,1/31/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
JUST KIDS EARLY CHILDHOOD LEARNING CENTER,QUEENS,7/31/22,Permitted,2 YEARS - 5 YEARS,123,Child Care - Pre School,7/31/18,4/17/22,3,20,52,20,0,1/4/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
WORLD OF WONDERS,BROOKLYN,7/16/22,Permitted,0 YEARS - 2 YEARS,14,Child Care - Infants/Toddlers,7/16/20,4/17/22,1,0,4,0,0,2/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
KinderCare Education LLC,MANHATTAN,1/11/23,Permitted,2 YEARS - 5 YEARS,74,Child Care - Pre School,1/11/21,4/17/22,1,0,6,0,0,2/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CHABAD OF TRIBECA,MANHATTAN,11/15/20,Expired-In Renewal,2 YEARS - 5 YEARS,82,Child Care - Pre School,11/15/12,4/17/22,9,33.3333,17,16.6667,16.6667,2/28/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
"THE RABBINICAL COMMITTEE OF BROWNSTONE BROOKLYN, INC.",BROOKLYN,10/15/23,Permitted,2 YEARS - 5 YEARS,9,Child Care - Pre School,10/15/07,4/17/22,14,20,3,0,20,3/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BELL PARK CHILD CARE CENTER, INC.",QUEENS,5/9/23,Permitted,2 YEARS - 5 YEARS,101,Child Care - Pre School,5/9/13,4/17/22,8,75,16,25,75,2/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"NEW LIFE DAY CARE CENTER, INC.",BROOKLYN,4/25/23,Permitted,2 YEARS - 5 YEARS,105,Child Care - Pre School,4/25/05,4/17/22,16,20,21,0,20,3/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"KA ON PARSONS,INC",QUEENS,9/27/23,Permitted,2 YEARS - 5 YEARS,166,Child Care - Pre School,9/27/13,4/17/22,8,14.2857,23,14.2857,14.2857,2/8/22,At time of inspection trash and garbage observed Not stored in appropriate containers with tight fitting lids.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
SUNSHINE LC OF LEXINGTON LLC,MANHATTAN,4/28/23,Permitted,0 YEARS - 2 YEARS,37,Child Care - Infants/Toddlers,4/28/15,4/17/22,6,25,16,0,25,3/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"KINDERCARE EDUCATION AT WORK, LLC.",MANHATTAN,8/31/22,Permitted,2 YEARS - 5 YEARS,56,Child Care - Pre School,8/31/12,4/17/22,9,0,11,0,0,1/11/22,Frozen food observed being thawed by unacceptable method at time of inspection.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
SARATOGA DAY CARE CORP.,BROOKLYN,8/20/22,Permitted,2 YEARS - 5 YEARS,38,Child Care - Pre School,8/20/12,4/17/22,9,40,2,40,20,1/5/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
"ALL MY CHILDREN DAY CARE AND NURSERY SCHOOL, INC.",QUEENS,10/22/22,Permitted,2 YEARS - 5 YEARS,105,Child Care - Pre School,10/22/12,4/17/22,9,0,12,0,0,2/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
JOY LEARNING GARDEN INC.,QUEENS,9/3/23,Permitted,2 YEARS - 5 YEARS,43,Child Care - Pre School,9/3/19,4/17/22,2,16.6667,6,0,16.6667,2/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
RICHMOND MEDICAL CENTER,STATEN ISLAND,1/2/23,Permitted,2 YEARS - 5 YEARS,57,Child Care - Pre School,1/2/19,4/17/22,3,16.6667,9,0,16.6667,4/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"ALEPH BET TODDLER CARE, INC.",QUEENS,9/4/23,Permitted,2 YEARS - 5 YEARS,26,Child Care - Pre School,9/4/15,4/17/22,6,75,10,50,75,1/12/22,Exits and other egress Not provided with required signage at time of inspection.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
MetroKids Cradle ( South End)  Inc.,MANHATTAN,6/11/21,Expired-In Renewal,2 YEARS - 5 YEARS,205,Child Care - Pre School,6/11/19,4/17/22,2,28.5714,12,14.2857,28.5714,3/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
IDEAL DAY CARE CENTER INC.,BROOKLYN,10/17/22,Permitted,2 YEARS - 5 YEARS,59,Child Care - Pre School,6/21/04,4/17/22,17,16.6667,7,0,16.6667,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
LITTLE PEOPLE DAYCARE OF NY INC,QUEENS,4/27/23,Permitted,2 YEARS - 5 YEARS,55,Child Care - Pre School,4/27/17,4/17/22,4,80,5,20,80,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
THE RESEARCH FOUNDATION OF SUNY,BROOKLYN,9/28/23,Permitted,2 YEARS - 5 YEARS,99,Child Care - Pre School,9/26/07,4/17/22,14,50,11,0,50,2/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,BROOKLYN,1/24/23,Permitted,0 YEARS - 2 YEARS,16,Child Care - Infants/Toddlers,1/24/11,4/17/22,11,20,12,0,20,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BRIGHT HORIZONS CHILDREN'S CENTERS LLC',BROOKLYN,8/8/23,Permitted,0 YEARS - 2 YEARS,46,Child Care - Infants/Toddlers,8/8/13,4/17/22,8,25,6,0,25,3/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BRIDGE COMMUNITY PLAYSCHOOL, INC",MANHATTAN,9/17/22,Permitted,2 YEARS - 5 YEARS,37,Child Care - Pre School,9/17/14,4/17/22,7,14.2857,8,0,14.2857,2/16/22,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
Childrens All Day School,MANHATTAN,4/21/24,Permitted,0 YEARS - 2 YEARS,21,Child Care - Infants/Toddlers,11/1/04,4/17/22,17,0,16,0,0,3/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"THE LEAGUE FOR BETTER COMMUNITY LIFE, INC.",QUEENS,9/20/22,Permitted,2 YEARS - 5 YEARS,59,Child Care - Pre School,9/20/04,4/17/22,17,16.6667,9,0,16.6667,1/13/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
SAINT DOMINIC'S FAMILY SERVICES,BRONX,9/7/22,Permitted,2 YEARS - 5 YEARS,83,Child Care - Pre School,9/7/18,4/17/22,3,50,21,16.6667,33.3333,2/2/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Compliance Inspection of Open Violations - Reinspection Not Required
"B 'ABOVE WORLDWIDE INSTITUTE, INC",BROOKLYN,8/24/23,Permitted,2 YEARS - 5 YEARS,286,Child Care - Pre School,8/24/21,4/17/22,0,0,1,0,0,1/21/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
MSH 507 LLC,MANHATTAN,4/15/23,Permitted,2 YEARS - 5 YEARS,35,Child Care - Pre School,4/15/21,4/17/22,1,0,2,0,0,1/6/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
Rella NYC Inc.,MANHATTAN,1/28/23,Permitted,2 YEARS - 5 YEARS,18,Child Care - Pre School,1/28/21,4/17/22,1,0,5,0,0,3/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"JASMIN EDUCATIONAL ENTERPRISES, INC.'",BRONX,2/17/23,Permitted,2 YEARS - 5 YEARS,54,Child Care - Pre School,2/17/11,4/17/22,11,20,5,0,20,3/29/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"ROCHDALE VILLAGE NURSERY SCHOOL,INC.",QUEENS,9/27/22,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,9/27/04,4/17/22,17,16.6667,4,0,16.6667,1/4/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"D'LITTLE STAR DAYCARE, INC.",QUEENS,4/11/23,Permitted,2 YEARS - 5 YEARS,29,Child Care - Pre School,4/11/13,4/17/22,9,42.8571,2,14.2857,42.8571,1/6/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
KID KRAZY INC.,QUEENS,12/21/23,Permitted,2 YEARS - 5 YEARS,48,Child Care - Pre School,12/20/11,4/17/22,10,0,9,0,0,2/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"IMAGINE EARLY LEARNING CENTERS,LLC.",BROOKLYN,8/26/23,Permitted,0 YEARS - 2 YEARS,19,Child Care - Infants/Toddlers,8/26/09,4/17/22,12,0,5,0,0,3/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
NORTHERN MANHATTAN PERINATAL PARTNERSHIP INC.,MANHATTAN,9/9/22,Permitted,2 YEARS - 5 YEARS,95,Child Care - Pre School,9/9/08,4/17/22,13,0,17,0,0,3/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
C. GARDENS INC.,BROOKLYN,4/21/22,Permitted,2 YEARS - 5 YEARS,31,Child Care - Pre School,4/21/16,4/17/22,5,33.3333,3,16.6667,33.3333,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
CARDINAL MCCLOSKEY COMMUNITY SERVICES,BRONX,9/10/23,Permitted,0 YEARS - 2 YEARS,72,Child Care - Infants/Toddlers,9/10/21,4/17/22,0,100,3,100,100,3/29/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection
"EUROPEAN CHILD CARE DAY CARE CENTER, INC.",BROOKLYN,8/15/23,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,6/7/05,4/17/22,16,0,2,0,0,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
RESURRECTION EPISCOPAL DAY SCHOOL,MANHATTAN,2/28/22,Expired-In Renewal,2 YEARS - 5 YEARS,100,Child Care - Pre School,2/25/04,4/17/22,18,0,15,0,0,3/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"ONCE UPON A CHILD DAY CARE,LLC",QUEENS,9/10/20,Expired-In Renewal,2 YEARS - 5 YEARS,29,Child Care - Pre School,9/10/10,4/17/22,11,50,7,16.6667,50,3/9/22,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"THE AUDITORY/ORAL LEARNING CENTER, INC.",BROOKLYN,8/4/23,Permitted,2 YEARS - 5 YEARS,193,Child Care - Pre School,8/4/11,4/17/22,10,0,19,0,0,3/30/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BUNNYHILL BABIES LLC,QUEENS,9/13/23,Permitted,0 YEARS - 2 YEARS,46,Child Care - Infants/Toddlers,9/13/19,4/17/22,2,25,18,0,25,3/29/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
RIVERDALE NEIGHBORHOOD HOUSE INC.,BRONX,8/7/22,Permitted,2 YEARS - 5 YEARS,40,Child Care - Pre School,8/7/04,4/17/22,17,33.3333,3,0,33.3333,3/29/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"Gymtime / Rhythm & Glues, Inc.",MANHATTAN,11/10/22,Permitted,0 YEARS - 2 YEARS,20,Child Care - Infants/Toddlers,11/10/16,4/17/22,5,0,3,0,0,2/14/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"C'E MONTESSORI, LLC.",BROOKLYN,6/19/22,Permitted,2 YEARS - 5 YEARS,45,Child Care - Pre School,6/19/18,4/17/22,3,40,11,20,40,2/2/22,Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,PUBLIC HEALTH HAZARD,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending
REDEEMER-ST.JOHN'S LUTHERAN CHURCH,BROOKLYN,5/10/22,Permitted,2 YEARS - 5 YEARS,35,Child Care - Pre School,1/22/04,4/17/22,18,0,6,0,0,1/12/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
MUSHROOM  HOUSE LLC,QUEENS,9/10/22,Permitted,2 YEARS - 5 YEARS,42,Child Care - Pre School,9/11/08,4/17/22,13,40,8,0,40,2/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BROOKLYN MONTESSORI, LTD.",BROOKLYN,9/9/22,Permitted,2 YEARS - 5 YEARS,109,Child Care - Pre School,9/9/10,4/17/22,11,20,36,0,20,3/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection
TEACHERS COLLEGE,MANHATTAN,7/11/23,Permitted,2 YEARS - 5 YEARS,28,Child Care - Pre School,6/17/05,4/17/22,16,0,16,0,0,2/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"SHUGAH BAYBEES CDC, INC",MANHATTAN,12/12/21,Expired-In Renewal,0 YEARS - 2 YEARS,37,Child Care - Infants/Toddlers,12/12/19,4/17/22,2,25,4,25,0,2/3/22,Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
STEPS TO SUCCESS OF NY LLC,BROOKLYN,6/8/23,Permitted,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,6/8/17,4/17/22,4,0,6,0,0,2/4/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ANGELS IN THE GARDENS CHILD CARE CORP,QUEENS,4/18/23,Permitted,2 YEARS - 5 YEARS,39,Child Care - Pre School,4/18/11,4/17/22,10,0,7,0,0,1/31/22,Training in child development Not provided every 24 months,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
LITTLE ONES LLC,QUEENS,9/15/23,Permitted,2 YEARS - 5 YEARS,45,Child Care - Pre School,3/4/05,4/17/22,17,0,10,0,0,1/21/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"THE EAST HARLEM BLOCK NURSERY, INC.",MANHATTAN,5/23/23,Permitted,2 YEARS - 5 YEARS,68,Child Care - Pre School,5/23/11,4/17/22,10,0,11,0,0,1/26/22,Commercial building regularly cleaned; kept clean and in good repair; kept free of overcrowding.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
BROOKLYN KINDERGARTEN SOCIETY,BROOKLYN,12/1/22,Permitted,2 YEARS - 5 YEARS,98,Child Care - Pre School,10/19/04,4/17/22,17,20,20,0,20,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
COLUMBIA GREENHOUSE NURSERY SCHOOL,MANHATTAN,12/16/23,Permitted,2 YEARS - 5 YEARS,50,Child Care - Pre School,11/20/05,4/17/22,16,16.6667,12,16.6667,16.6667,1/12/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BRONX SKY CHILD CARE CENTER INC,BRONX,3/16/24,Permitted,2 YEARS - 5 YEARS,10,Child Care - Pre School,3/16/16,4/17/22,6,33.3333,4,0,33.3333,3/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection
"THE HAITIAN-AMERICANS UNITED FOR PROGRESS, INC.",QUEENS,8/31/23,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,8/31/15,4/17/22,6,100,2,0,100,1/14/22,Enrolled children 6 months to 59 months have Not received FDA approved annual influenza immunization by December 31 of the year,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
BRIGHT HORIZONS CHILDREN'S CENTER,MANHATTAN,3/4/20,Expired-In Renewal,2 YEARS - 5 YEARS,41,Child Care - Pre School,3/4/08,4/17/22,14,0,12,0,0,3/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
SUNSHINE DAY CARE OF MOTT HAVEN LLC,BRONX,12/5/23,Permitted,2 YEARS - 5 YEARS,161,Child Care - Pre School,12/5/11,4/17/22,10,60,23,40,40,1/20/22,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate the potential for exposure to choking hazards by children.,CRITICAL,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending
SUNSHINE LC OF 3RD AVE LLC,MANHATTAN,6/26/23,Permitted,0 YEARS - 2 YEARS,55,Child Care - Infants/Toddlers,6/26/15,4/17/22,6,0,27,0,0,2/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
"PRINCE HALL SERVICE FUND, INC.",MANHATTAN,9/12/23,Permitted,2 YEARS - 5 YEARS,30,Child Care - Pre School,2/12/03,4/17/22,19,50,3,33.3333,50,2/10/22,Food service constructed in accordance with Article 81 of HC and other applicable law,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Not Required
